model Qwen/Qwen3.8-27B renderer=qwen3_8_disable_thinking  tasks 400
28-7     ok
13-1     ok
51-12    ok
60-7     ok
262-17   ok
263-1    ok
267-18   ok
22-47    ok
267-21   ok
269-44   ok
269-43   ok
279-23   ok
280-17   ok
283-32   ok
290-1    ok
23-24    error: Expecting ',' delimiter: line 1378 column 6 (char 18991)
24-23    error: Expecting ',' delimiter: line 1266 column 6 (char 17361)
333-29   ok
17-35    error: Expecting ',' delimiter: line 1058 column 6 (char 15798)
384-4    ok
41-47    error: Expecting ',' delimiter: line 388 column 57 (char 16560)
433-47   ok
455-35   ok
469-9    ok
472-15   ok
477-45   ok
493-18   ok
547-18   ok
61-4     ok
66-24    ok
73-45    ok
304-35   ok
79-7     ok
82-30    ok
82-38    ok
84-40    ok
297-42   error: Expecting ',' delimiter: line 458 column 42 (char 17097)
97-36    ok
290-27   error: Expecting ',' delimiter: line 503 column 35 (char 18468)
105-24   ok
341-40   error: Expecting ',' delimiter: line 454 column 35 (char 17160)
109-21   ok
408-5    error: Expecting ',' delimiter: line 1126 column 6 (char 16431)
130-9    ok
142-19   ok
147-48   ok
118-50   ok
160-6    ok
156-14   ok
168-17   ok
80-42    error: Expecting ',' delimiter: line 1 column 18285 (char 18284)
146-49   ok
178-22   ok
91-34    error: Expecting ',' delimiter: line 492 column 35 (char 18881)
170-13   ok
203-15   ok
177-6    ok
230-16   ok
236-22   ok
208-20   ok
254-34   ok
157-4    error: Expecting ',' delimiter: line 531 column 35 (char 19191)
108-24   ok
250-20   ok
120-24   ok
183-8    ok
142-12   ok
165-23   error: Expecting ',' delimiter: line 540 column 35 (char 19511)
188-39   ok
227-40   ok
192-22   ok
302-1    ok
325-44   ok
334-11   ok
341-14   ok
343-20   ok
191-40   error: Expecting ',' delimiter: line 457 column 32 (char 16630)
194-19   error: Expecting ',' delimiter: line 495 column 37 (char 18143)
141-20   ok
359-21   ok
367-23   ok
374-18   ok
374-31   ok
370-43   ok
379-36   ok
382-10   ok
382-29   ok
353-29   ok
388-47   ok
395-36   ok
399-14   ok
209-30   error: Expecting ',' delimiter: line 490 column 36 (char 18324)
408-39   ok
247-24   error: Expecting ',' delimiter: line 506 column 33 (char 18500)
414-20   ok
398-14   ok
387-16   ok
416-15   ok
416-27   ok
409-45   ok
438-18   ok
423-16   ok
463-17   ok
440-24   ok
402-43   ok
496-15   ok
493-5    ok
488-14   ok
448-11   ok
496-34   ok
516-46   ok
486-17   ok
353-6    error: Expecting ',' delimiter: line 464 column 32 (char 19139)
510-3    ok
534-26   ok
524-31   ok
560-12   ok
547-43   ok
585-41   ok
599-9    ok
12307    ok
15380    ok
545-35   ok
30930    ok
31202    ok
33722    ok
34033    ok
37900    ok
38074    ok
38462    ok
38703    ok
567-21   ok
38823    ok
38985    ok
39046    ok
38537    ok
38969    ok
39432    ok
39667    ok
39515    ok
39903    ok
40478    ok
39931    ok
41691    ok
41601    ok
41410    ok
42198    ok
41969    ok
44389    ok
45300    ok
42526    ok
46167    ok
45635    ok
46240    ok
45896    ok
47766    ok
47798    ok
48080    ok
48257    ok
47842    ok
48365    ok
48608    ok
48620    ok
48588    ok
48745    ok
48643    ok
48924    ok
48969    ok
47933    ok
48921    ok
531-18   error: Expecting ',' delimiter: line 326 column 33 (char 14133)
535-20   error: Expecting ',' delimiter: line 1066 column 6 (char 22450)
577-40   error: Expecting ',' delimiter: line 470 column 35 (char 17347)
48982    ok
49036    ok
49237    ok
48975    ok
49801    ok
49300    ok
50088    ok
49333    ok
50526    ok
48983    ok
50682    ok
50768    ok
49667    ok
49196    ok
50796    ok
50952    ok
51262    ok
50916    ok
51431    ok
51359    ok
51289    ok
51586    ok
50324    ok
51090    ok
52216    ok
52917    ok
54144    ok
53167    ok
54590    ok
54242    ok
52807    ok
54675    ok
50193    ok
52575    ok
1563     ok
1925     ok
3413     ok
3002     ok
5835     ok
1818     ok
6698     ok
3911     ok
2768     ok
7665     ok
8942     ok
9111     ok
7902     ok
9391     ok
9448     ok
4714     ok
9726     ok
10747    ok
10452    ok
11276    ok
12864    ok
13284    ok
15387    ok
11842    ok
16511    ok
17111    ok
18645    ok
54196    ok
18935    ok
14240    ok
31011    ok
31628    ok
31915    ok
32023    ok
32093    ok
32293    ok
32255    ok
31746    ok
32438    ok
32337    ok
32562    ok
32902    ok
33157    ok
32612    ok
34210    ok
6239     ok
35742    ok
15671    ok
35747    ok
36764    ok
36191    ok
36097    ok
37086    ok
37378    ok
37554    ok
36277    ok
37229    ok
35739    ok
