resume skip 87  remaining 309
model tinker://600ccd82-58a6-5eee-b276-7c212844dd0d:train:0/sampler_weights/final renderer=qwen3_8_xhigh_reasoning  tasks 309  agent=auto
46167    ok
50796    ok
41601    ok
47933    ok
49801    ok
382-10   ok
51431    ok
31628    ok
36764    ok
52917    ok
54513    ok
49237    ok
48745    ok
41691    ok
54242    ok
50486    ok
38823    ok
41410    ok
48080    ok
36191    ok
37086    ok
52220    ok
49945    ok
32293    ok
48608    ok
7665     ok
44628    ok
45063    ok
34210    ok
40959    ok
227-40   ok
49857    ok
57113    ok
54085    ok
51359    ok
359-21   ok
51249    ok
486-17   ok
40478    ok
16511    ok
48924    ok
48257    ok
42198    ok
53449    ok
36277    ok
48982    ok
41969    ok
51680    ok
43213    ok
367-23   ok
59196    ok
35742    ok
44266    ok
50088    ok
31915    ok
49300    ok
1563     ok
45635    ok
55060    ok
3413     ok
15380    ok
56563    ok
32255    ok
32612    ok
41265    ok
54274    ok
10747    ok
496-15   ok
57445    ok
55708    ok
38969    ok
39667    ok
49036    ok
440-24   ok
57612    ok
32093    ok
59160    ok
37554    ok
35747    ok
48643    ok
55817    ok
51262    ok
297-42   ok
39903    ok
42354    ok
44389    ok
38462    ok
59639    ok
39515    ok
45896    ok
52050    ok
302-1    ok
58109    ok
55260    ok
50324    ok
8942     ok
9391     ok
57743    ok
41348    ok
58687    ok
56921    ok
54717    ok
55421    ok
39046    ok
50682    ok
59511    ok
12307    ok
45300    ok
41978    ok
31746    ok
50971    ok
58499    ok
51586    ok
58942    ok
49196    ok
203-15   ok
59129    ok
17111    ok
53383    ok
51354    ok
56225    ok
423-16   ok
5835     ok
438-18   ok
46121    ok
58949    ok
60-7     ok
55976    ok
55085    ok
408-39   ok
50250    ok
53167    ok
38703    ok
18935    ok
32023    ok
47842    ok
9726     ok
56920    ok
46897    ok
51289    ok
142-12   ok
488-14   ok
9111     ok
10452    ok
599-9    ok
6698     ok
374-31   ok
53647    ok
38074    ok
183-8    ok
52964    ok
188-39   ok
32337    ok
547-43   ok
247-24   ok
531-18   ok
48365    ok
43436    ok
59734    ok
147-48   ok
39931    ok
399-14   ok
48969    ok
32562    ok
545-35   ok
230-16   ok
58904    ok
40757    ok
160-6    ok
2768     ok
547-18   ok
343-20   ok
14240    ok
57590    ok
120-24   ok
51556    ok
56419    ok
48527    ok
105-24   ok
55965    ok
56599    ok
57558    ok
388-47   ok
50521    ok
50811    ok
49333    ok
47766    ok
50193    ok
57989    ok
510-3    ok
52233    ok
53994    ok
42526    ok
11842    ok
52807    ok
37456    ok
45372    ok
50768    ok
58723    ok
416-15   ok
414-20   ok
33722    ok
146-49   ok
3002     ok
58147    ok
55468    ok
48588    ok
54638    ok
325-44   ok
59794    ok
3911     ok
54590    ok
42181    ok
56378    ok
30930    ok
45944    ok
37462    ok
279-23   ok
56274    ok
97-36    ok
52575    ok
57262    ok
250-20   ok
209-30   ok
353-6    ok
40892    ok
41420    ok
56915    ok
448-11   ok
56953    ok
51090    ok
534-26   ok
32789    ok
409-45   ok
55977    ok
59902    ok
39432    ok
57232    ok
395-36   ok
38985    ok
263-1    ok
4714     ok
496-34   ok
9569     ok
370-43   ok
45707    ok
269-43   ok
36097    ok
168-17   ok
254-34   ok
402-43   ok
416-27   ok
42930    ok
280-17   ok
56427    ok
45738    ok
42216    ok
353-29   ok
44913    ok
267-18   ok
59595    ok
58032    ok
208-20   ok
56786    ok
374-18   ok
50631    ok
236-22   ok
455-35   ok
1925     ok
477-45   ok
61-4     ok
53117    ok
13284    ok
165-23   ok
53161    ok
408-5    ok
58484    ok
493-18   ok
141-20   ok
15387    ok
54925    ok
17-35    ok
13-1     ok
177-6    ok
80-42    error: prompt too long (65542 tokens); reduce workbook preview
178-22   ok
50051    ok
290-27   ok
91-34    ok
157-4    ok
398-14   ok
191-40   ok
493-5    ok
118-50   ok
577-40   ok
535-20   ok
49667    ok
28-7     ok
41-47    ok
55427    ok
387-16   ok
6239     ok
524-31   ok
170-13   ok
59884    ok
304-35   ok
22-47    ok
341-40   ok
9448     ok
resume skip 387  remaining 13
model tinker://600ccd82-58a6-5eee-b276-7c212844dd0d:train:0/sampler_weights/final renderer=qwen3_8_xhigh_reasoning  tasks 13  agent=auto
79-7     ok
472-15   ok
384-4    ok
66-24    ok
84-40    ok
469-9    ok
333-29   ok
82-38    ok
24-23    ok
51-12    ok
262-17   ok
194-19   ok
567-21   ok
